Time [s],x-axis [g],y-axis [g],z-axis [g]
0.726691,-0.246048,-0.648499,5.6057
0.726982,-0.398636,-2.882,5.79262
0.727273,-0.535965,-1.05667,1.77956
0.727564,-0.648499,0.486374,1.894
0.727855,-0.722885,1.97601,-0.267029
0.728145,-0.759125,0.0686646,-4.03214
0.728436,-0.761032,-0.257492,-4.89998
0.728727,-0.745773,0.341415,-7.92122
0.729018,-0.738144,-1.66512,-7.07245
0.729309,-0.757218,-0.143051,-8.40569
0.7296,-0.814438,1.82915,-8.99697
0.729891,-0.904083,0.331879,-9.93157
0.730182,-1.00136,0.709534,-8.07572
0.730473,-1.07765,0.881195,-8.17108
0.730764,-1.09482,-0.173569,-4.3869
0.731055,-1.02997,0.724793,-5.26428
0.731345,-0.873566,-0.656128,-1.94359
0.731636,-0.637055,0.0419617,-0.751495
0.731927,-0.349045,0.301361,1.02234
0.732218,-0.0514984,1.1673,5.28526
0.732509,0.213623,1.37329,4.26102
0.7328,0.411987,-1.04523,7.21359
0.733091,0.530243,-0.581741,6.59371
0.733382,0.564575,-1.98174,6.79398
0.733673,0.528336,-1.27602,8.80242
0.733964,0.436783,1.32751,8.38852
0.734255,0.307083,-0.00190735,9.10759
